starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 17:26:06 2020	1603952766	20	303	323	302
Thu Oct 29 17:25:41 2020	1603952741	21	303	323	303
Thu Oct 29 17:25:24 2020	1603952724	20	304	324	304
Thu Oct 29 17:26:04 2020	1603952764	20	305	325	305
Thu Oct 29 17:25:24 2020	1603952724	21	304	325	304
Thu Oct 29 17:25:02 2020	1603952702	22	303	326	303
Thu Oct 29 17:25:03 2020	1603952703	22	304	326	304
Thu Oct 29 17:25:24 2020	1603952724	21	304	326	304
Thu Oct 29 17:24:48 2020	1603952688	20	306	326	306
Thu Oct 29 17:25:44 2020	1603952744	22	304	326	304
Thu Oct 29 17:25:21 2020	1603952721	23	303	326	303
Thu Oct 29 17:25:11 2020	1603952711	23	304	326	304
Thu Oct 29 17:25:21 2020	1603952721	20	306	326	306
Thu Oct 29 17:25:55 2020	1603952755	20	306	326	306
Thu Oct 29 17:25:27 2020	1603952727	23	304	326	304
Thu Oct 29 17:25:11 2020	1603952711	20	307	327	306
Thu Oct 29 17:24:53 2020	1603952693	21	306	327	306
Thu Oct 29 17:25:25 2020	1603952725	21	306	327	306
Thu Oct 29 17:25:31 2020	1603952731	22	305	327	305
Thu Oct 29 17:25:12 2020	1603952712	21	306	327	306
Thu Oct 29 17:24:50 2020	1603952690	20	307	327	307
Thu Oct 29 17:26:02 2020	1603952762	22	306	327	306
Thu Oct 29 17:25:13 2020	1603952713	21	307	328	307
Thu Oct 29 17:25:26 2020	1603952726	24	303	328	303
Thu Oct 29 17:25:57 2020	1603952757	20	307	328	307
Thu Oct 29 17:25:25 2020	1603952725	22	305	328	305
Thu Oct 29 17:25:32 2020	1603952732	23	305	328	305
Thu Oct 29 17:25:02 2020	1603952702	22	306	328	306
Thu Oct 29 17:25:39 2020	1603952739	21	307	328	306
Thu Oct 29 17:24:52 2020	1603952692	23	305	328	305
Thu Oct 29 17:26:00 2020	1603952760	21	307	328	307
Thu Oct 29 17:25:26 2020	1603952726	24	304	328	304
Thu Oct 29 17:25:27 2020	1603952727	23	305	328	305
Thu Oct 29 17:24:44 2020	1603952684	25	303	328	303
Thu Oct 29 17:24:53 2020	1603952693	21	307	328	307
Thu Oct 29 17:25:25 2020	1603952725	29	300	328	300
Thu Oct 29 17:25:36 2020	1603952736	22	306	328	306
Thu Oct 29 17:25:29 2020	1603952729	22	307	328	307
Thu Oct 29 17:25:32 2020	1603952732	21	307	328	307
Thu Oct 29 17:25:49 2020	1603952749	24	304	328	304
Thu Oct 29 17:25:00 2020	1603952700	22	306	329	306
Thu Oct 29 17:25:07 2020	1603952707	21	308	329	308
Thu Oct 29 17:25:54 2020	1603952754	22	307	329	307
Thu Oct 29 17:25:07 2020	1603952707	20	308	329	308
Thu Oct 29 17:24:59 2020	1603952699	20	309	329	309
Thu Oct 29 17:25:42 2020	1603952742	25	304	329	304
Thu Oct 29 17:24:53 2020	1603952693	25	304	329	304
Thu Oct 29 17:25:16 2020	1603952716	21	308	329	308
Thu Oct 29 17:26:00 2020	1603952760	25	304	330	304
Thu Oct 29 17:24:43 2020	1603952683	22	307	330	307
Thu Oct 29 17:25:12 2020	1603952712	22	308	330	308
Thu Oct 29 17:25:35 2020	1603952735	22	307	330	307
Thu Oct 29 17:24:52 2020	1603952692	20	310	330	310
Thu Oct 29 17:25:10 2020	1603952710	26	304	330	304
Thu Oct 29 17:24:40 2020	1603952680	21	309	330	309
Thu Oct 29 17:25:56 2020	1603952756	21	309	330	309
Thu Oct 29 17:25:13 2020	1603952713	21	309	330	309
Thu Oct 29 17:24:48 2020	1603952688	24	306	330	306
Thu Oct 29 17:25:51 2020	1603952751	23	308	330	307
Thu Oct 29 17:25:56 2020	1603952756	20	311	331	310
Thu Oct 29 17:25:24 2020	1603952724	20	311	331	311
Thu Oct 29 17:25:21 2020	1603952721	23	308	331	308
Thu Oct 29 17:25:25 2020	1603952725	25	306	331	306
Thu Oct 29 17:24:46 2020	1603952686	20	311	331	311
Thu Oct 29 17:25:57 2020	1603952757	22	309	331	308
Thu Oct 29 17:25:36 2020	1603952736	22	309	331	309
Thu Oct 29 17:26:06 2020	1603952766	22	309	331	309
Thu Oct 29 17:25:38 2020	1603952738	23	308	331	308
Thu Oct 29 17:25:09 2020	1603952709	24	307	331	306
Thu Oct 29 17:25:12 2020	1603952712	27	304	331	304
Thu Oct 29 17:25:12 2020	1603952712	20	311	331	311
Thu Oct 29 17:24:39 2020	1603952679	24	307	331	307
Thu Oct 29 17:25:41 2020	1603952741	22	310	331	310
Thu Oct 29 17:25:44 2020	1603952744	20	312	332	312
Thu Oct 29 17:26:00 2020	1603952760	25	306	332	306
Thu Oct 29 17:24:56 2020	1603952696	26	306	332	306
Thu Oct 29 17:25:40 2020	1603952740	22	309	332	309
Thu Oct 29 17:25:32 2020	1603952732	22	310	332	310
Thu Oct 29 17:25:21 2020	1603952721	25	307	332	307
Thu Oct 29 17:25:05 2020	1603952705	22	310	332	309
Thu Oct 29 17:25:50 2020	1603952750	24	308	332	308
Thu Oct 29 17:25:55 2020	1603952755	24	308	332	308
Thu Oct 29 17:25:24 2020	1603952724	25	307	332	307
Thu Oct 29 17:26:09 2020	1603952769	20	312	332	312
Thu Oct 29 17:24:50 2020	1603952690	25	307	332	307
Thu Oct 29 17:24:51 2020	1603952691	21	311	332	311
Thu Oct 29 17:25:03 2020	1603952703	25	307	332	307
Thu Oct 29 17:26:08 2020	1603952768	22	310	332	310
Thu Oct 29 17:25:45 2020	1603952745	25	307	332	307
Thu Oct 29 17:26:03 2020	1603952763	24	308	332	308
Thu Oct 29 17:25:40 2020	1603952740	28	304	332	304
Thu Oct 29 17:26:03 2020	1603952763	22	310	332	310
Thu Oct 29 17:25:59 2020	1603952759	22	311	332	310
Thu Oct 29 17:25:10 2020	1603952710	24	308	332	308
Thu Oct 29 17:25:48 2020	1603952748	23	309	332	309
Thu Oct 29 17:25:50 2020	1603952750	22	311	332	311
Thu Oct 29 17:25:01 2020	1603952701	20	313	333	313
Thu Oct 29 17:25:29 2020	1603952729	23	310	333	310
Thu Oct 29 17:25:06 2020	1603952706	27	306	333	306
Thu Oct 29 17:25:14 2020	1603952714	23	310	333	310
Thu Oct 29 17:25:52 2020	1603952752	22	311	333	310
Thu Oct 29 17:24:44 2020	1603952684	26	307	333	307
Thu Oct 29 17:24:55 2020	1603952695	23	309	333	309
Thu Oct 29 17:25:26 2020	1603952726	22	311	333	311
Thu Oct 29 17:25:36 2020	1603952736	23	310	333	309
Thu Oct 29 17:25:40 2020	1603952740	21	312	333	312
Thu Oct 29 17:25:11 2020	1603952711	24	309	333	309
Thu Oct 29 17:26:06 2020	1603952766	26	308	333	307
Thu Oct 29 17:25:24 2020	1603952724	20	313	333	312
Thu Oct 29 17:24:54 2020	1603952694	25	308	333	308
Thu Oct 29 17:25:16 2020	1603952716	23	310	333	310
Thu Oct 29 17:25:29 2020	1603952729	22	312	333	312
Thu Oct 29 17:26:02 2020	1603952762	25	308	333	308
Thu Oct 29 17:25:49 2020	1603952749	22	312	333	311
Thu Oct 29 17:25:44 2020	1603952744	22	312	333	311
Thu Oct 29 17:25:54 2020	1603952754	22	311	333	311
Thu Oct 29 17:24:41 2020	1603952681	24	309	333	309
Thu Oct 29 17:25:35 2020	1603952735	21	312	333	312
Thu Oct 29 17:25:02 2020	1603952702	21	312	333	312
Thu Oct 29 17:24:45 2020	1603952685	25	309	333	308
Thu Oct 29 17:25:04 2020	1603952704	24	310	334	310
Thu Oct 29 17:25:34 2020	1603952734	24	309	334	309
Thu Oct 29 17:25:31 2020	1603952731	24	310	334	310
Thu Oct 29 17:25:10 2020	1603952710	21	313	334	312
Thu Oct 29 17:25:11 2020	1603952711	23	311	334	310
Thu Oct 29 17:25:11 2020	1603952711	25	309	334	309
Thu Oct 29 17:25:05 2020	1603952705	26	308	334	308
Thu Oct 29 17:25:34 2020	1603952734	25	309	334	309
Thu Oct 29 17:25:36 2020	1603952736	23	311	334	311
Thu Oct 29 17:25:06 2020	1603952706	25	309	334	309
Thu Oct 29 17:25:31 2020	1603952731	23	311	334	311
Thu Oct 29 17:25:11 2020	1603952711	22	312	334	312
Thu Oct 29 17:25:32 2020	1603952732	22	312	334	312
Thu Oct 29 17:25:24 2020	1603952724	26	308	334	308
Thu Oct 29 17:25:02 2020	1603952702	20	314	334	314
Thu Oct 29 17:24:51 2020	1603952691	23	311	334	311
Thu Oct 29 17:24:38 2020	1603952678	20	314	334	314
Thu Oct 29 17:26:02 2020	1603952762	24	311	334	310
Thu Oct 29 17:25:29 2020	1603952729	22	313	334	313
Thu Oct 29 17:25:50 2020	1603952750	23	311	334	311
Thu Oct 29 17:25:20 2020	1603952720	22	312	334	312
Thu Oct 29 17:25:29 2020	1603952729	26	309	335	308
Thu Oct 29 17:26:03 2020	1603952763	23	312	335	312
Thu Oct 29 17:25:29 2020	1603952729	22	313	335	313
Thu Oct 29 17:24:57 2020	1603952697	26	309	335	309
Thu Oct 29 17:25:54 2020	1603952754	24	311	335	311
Thu Oct 29 17:25:12 2020	1603952712	25	310	335	310
Thu Oct 29 17:24:40 2020	1603952680	25	310	335	310
Thu Oct 29 17:24:39 2020	1603952679	24	311	335	311
Thu Oct 29 17:25:41 2020	1603952741	21	314	335	314
Thu Oct 29 17:24:48 2020	1603952688	24	311	335	311
Thu Oct 29 17:24:55 2020	1603952695	24	311	335	311
Thu Oct 29 17:25:14 2020	1603952714	21	314	335	314
Thu Oct 29 17:25:58 2020	1603952758	22	313	335	313
Thu Oct 29 17:26:01 2020	1603952761	23	313	335	312
Thu Oct 29 17:24:44 2020	1603952684	25	311	335	311
Thu Oct 29 17:25:22 2020	1603952722	25	311	335	310
Thu Oct 29 17:25:03 2020	1603952703	21	314	335	314
Thu Oct 29 17:26:03 2020	1603952763	21	315	336	315
Thu Oct 29 17:25:39 2020	1603952739	22	313	336	313
Thu Oct 29 17:25:13 2020	1603952713	26	310	336	310
Thu Oct 29 17:25:08 2020	1603952708	23	313	336	313
Thu Oct 29 17:24:57 2020	1603952697	25	310	336	310
Thu Oct 29 17:25:46 2020	1603952746	25	310	336	310
Thu Oct 29 17:25:58 2020	1603952758	21	315	336	315
Thu Oct 29 17:25:07 2020	1603952707	23	313	336	313
Thu Oct 29 17:25:11 2020	1603952711	24	312	336	311
Thu Oct 29 17:25:46 2020	1603952746	23	313	336	313
Thu Oct 29 17:24:57 2020	1603952697	23	313	336	313
Thu Oct 29 17:25:40 2020	1603952740	22	314	336	313
Thu Oct 29 17:24:39 2020	1603952679	24	312	336	312
Thu Oct 29 17:25:27 2020	1603952727	23	313	336	312
Thu Oct 29 17:25:59 2020	1603952759	20	316	336	316
Thu Oct 29 17:24:36 2020	1603952676	26	310	336	310
Thu Oct 29 17:26:07 2020	1603952767	23	314	336	313
Thu Oct 29 17:26:02 2020	1603952762	20	316	336	316
Thu Oct 29 17:24:43 2020	1603952683	24	312	336	312
Thu Oct 29 17:25:01 2020	1603952701	24	312	336	312
Thu Oct 29 17:26:01 2020	1603952761	22	314	336	314
Thu Oct 29 17:25:28 2020	1603952728	22	314	336	314
Thu Oct 29 17:25:58 2020	1603952758	23	314	336	313
Thu Oct 29 17:25:11 2020	1603952711	21	315	336	315
Thu Oct 29 17:24:51 2020	1603952691	27	309	336	309
Thu Oct 29 17:24:39 2020	1603952679	20	316	336	316
Thu Oct 29 17:25:26 2020	1603952726	21	316	336	315
Thu Oct 29 17:25:41 2020	1603952741	26	310	336	310
Thu Oct 29 17:24:54 2020	1603952694	23	313	336	313
Thu Oct 29 17:25:40 2020	1603952740	21	316	336	316
Thu Oct 29 17:25:08 2020	1603952708	22	314	336	314
Thu Oct 29 17:25:27 2020	1603952727	21	315	336	314
Thu Oct 29 17:25:09 2020	1603952709	23	313	337	313
Thu Oct 29 17:25:03 2020	1603952703	24	313	337	313
Thu Oct 29 17:25:30 2020	1603952730	27	309	337	309
Thu Oct 29 17:25:02 2020	1603952702	26	311	337	311
Thu Oct 29 17:25:46 2020	1603952746	25	311	337	311
Thu Oct 29 17:25:01 2020	1603952701	26	310	337	310
Thu Oct 29 17:25:34 2020	1603952734	26	311	337	311
Thu Oct 29 17:25:37 2020	1603952737	21	316	337	315
Thu Oct 29 17:25:11 2020	1603952711	26	311	337	311
Thu Oct 29 17:25:34 2020	1603952734	22	315	337	315
Thu Oct 29 17:25:46 2020	1603952746	21	316	337	316
Thu Oct 29 17:25:50 2020	1603952750	25	312	337	312
Thu Oct 29 17:26:09 2020	1603952769	24	313	337	313
Thu Oct 29 17:24:38 2020	1603952678	25	312	337	312
Thu Oct 29 17:24:47 2020	1603952687	27	310	337	310
Thu Oct 29 17:25:39 2020	1603952739	26	311	337	311
Thu Oct 29 17:25:32 2020	1603952732	24	313	337	313
Thu Oct 29 17:24:51 2020	1603952691	23	314	337	314
Thu Oct 29 17:25:08 2020	1603952708	25	312	337	311
Thu Oct 29 17:24:51 2020	1603952691	24	313	337	313
Thu Oct 29 17:25:08 2020	1603952708	22	316	337	316
Thu Oct 29 17:24:46 2020	1603952686	20	318	337	317
Thu Oct 29 17:25:57 2020	1603952757	21	317	337	316
Thu Oct 29 17:24:54 2020	1603952694	25	313	338	312
Thu Oct 29 17:25:02 2020	1603952702	22	316	338	316
Thu Oct 29 17:25:24 2020	1603952724	21	316	338	316
Thu Oct 29 17:25:36 2020	1603952736	24	313	338	313
Thu Oct 29 17:24:40 2020	1603952680	25	313	338	313
Thu Oct 29 17:24:46 2020	1603952686	26	312	338	312
Thu Oct 29 17:25:14 2020	1603952714	27	311	338	310
Thu Oct 29 17:25:36 2020	1603952736	20	318	338	318
Thu Oct 29 17:25:22 2020	1603952722	24	314	338	313
Thu Oct 29 17:25:11 2020	1603952711	25	313	338	313
Thu Oct 29 17:25:34 2020	1603952734	23	315	338	315
Thu Oct 29 17:25:24 2020	1603952724	27	310	338	310
Thu Oct 29 17:25:33 2020	1603952733	20	318	338	318
Thu Oct 29 17:24:38 2020	1603952678	24	314	338	314
Thu Oct 29 17:25:40 2020	1603952740	26	312	338	312
Thu Oct 29 17:25:08 2020	1603952708	24	314	338	314
Thu Oct 29 17:24:49 2020	1603952689	25	313	338	313
Thu Oct 29 17:25:22 2020	1603952722	25	314	338	313
Thu Oct 29 17:25:24 2020	1603952724	24	314	338	314
Thu Oct 29 17:25:16 2020	1603952716	22	316	338	316
Thu Oct 29 17:25:05 2020	1603952705	22	316	338	316
Thu Oct 29 17:24:43 2020	1603952683	24	314	338	314
Thu Oct 29 17:24:46 2020	1603952686	24	314	338	314
Thu Oct 29 17:24:47 2020	1603952687	24	315	338	315
Thu Oct 29 17:24:57 2020	1603952697	26	313	338	313
Thu Oct 29 17:25:03 2020	1603952703	24	314	339	314
Thu Oct 29 17:25:32 2020	1603952732	24	315	339	315
Thu Oct 29 17:25:25 2020	1603952725	24	314	339	314
Thu Oct 29 17:24:54 2020	1603952694	28	311	339	310
Thu Oct 29 17:24:51 2020	1603952691	21	317	339	317
Thu Oct 29 17:24:38 2020	1603952678	24	315	339	315
Thu Oct 29 17:26:07 2020	1603952767	22	317	339	317
Thu Oct 29 17:24:39 2020	1603952679	27	312	339	312
Thu Oct 29 17:26:02 2020	1603952762	25	314	339	314
Thu Oct 29 17:24:42 2020	1603952682	24	315	339	315
Thu Oct 29 17:25:53 2020	1603952753	22	317	339	316
Thu Oct 29 17:25:20 2020	1603952720	26	314	339	314
Thu Oct 29 17:24:51 2020	1603952691	27	312	339	312
Thu Oct 29 17:25:58 2020	1603952758	27	312	339	312
Thu Oct 29 17:26:08 2020	1603952768	22	318	339	317
Thu Oct 29 17:25:56 2020	1603952756	27	312	339	312
Thu Oct 29 17:25:23 2020	1603952723	23	316	339	316
Thu Oct 29 17:24:55 2020	1603952695	26	313	339	313
Thu Oct 29 17:25:09 2020	1603952709	25	314	339	314
Thu Oct 29 17:24:46 2020	1603952686	26	314	339	314
Thu Oct 29 17:25:50 2020	1603952750	21	319	339	318
Thu Oct 29 17:25:08 2020	1603952708	24	316	339	316
Thu Oct 29 17:24:45 2020	1603952685	22	318	339	318
Thu Oct 29 17:25:28 2020	1603952728	28	312	339	312
Thu Oct 29 17:25:13 2020	1603952713	25	314	339	314
Thu Oct 29 17:25:21 2020	1603952721	23	317	339	317
Thu Oct 29 17:25:42 2020	1603952742	22	317	340	317
Thu Oct 29 17:25:57 2020	1603952757	22	317	340	317
Thu Oct 29 17:26:04 2020	1603952764	26	313	340	313
Thu Oct 29 17:25:12 2020	1603952712	26	314	340	314
Thu Oct 29 17:24:42 2020	1603952682	24	315	340	315
Thu Oct 29 17:26:00 2020	1603952760	22	318	340	317
Thu Oct 29 17:25:32 2020	1603952732	25	315	340	315
Thu Oct 29 17:25:25 2020	1603952725	28	311	340	311
Thu Oct 29 17:26:05 2020	1603952765	23	317	340	316
Thu Oct 29 17:26:10 2020	1603952770	22	318	340	318
Thu Oct 29 17:25:25 2020	1603952725	27	313	340	313
Thu Oct 29 17:25:42 2020	1603952742	23	317	340	317
Thu Oct 29 17:24:49 2020	1603952689	21	318	340	318
Thu Oct 29 17:24:45 2020	1603952685	23	317	340	317
Thu Oct 29 17:25:04 2020	1603952704	22	318	340	318
Thu Oct 29 17:24:53 2020	1603952693	26	314	340	313
Thu Oct 29 17:25:13 2020	1603952713	27	313	340	313
Thu Oct 29 17:24:50 2020	1603952690	24	316	341	315
Thu Oct 29 17:26:06 2020	1603952766	20	320	341	320
Thu Oct 29 17:25:48 2020	1603952748	24	317	341	316
Thu Oct 29 17:24:53 2020	1603952693	37	304	341	304
Thu Oct 29 17:25:27 2020	1603952727	22	319	341	319
Thu Oct 29 17:24:43 2020	1603952683	25	316	341	316
Thu Oct 29 17:25:35 2020	1603952735	22	319	341	319
Thu Oct 29 17:25:24 2020	1603952724	20	321	341	321
Thu Oct 29 17:25:10 2020	1603952710	26	315	341	315
Thu Oct 29 17:25:07 2020	1603952707	26	315	341	315
Thu Oct 29 17:24:42 2020	1603952682	21	321	341	321
Thu Oct 29 17:25:55 2020	1603952755	24	317	341	317
Thu Oct 29 17:25:24 2020	1603952724	21	320	341	320
Thu Oct 29 17:25:12 2020	1603952712	23	318	341	318
Thu Oct 29 17:25:10 2020	1603952710	25	316	341	316
Thu Oct 29 17:25:34 2020	1603952734	26	315	342	315
Thu Oct 29 17:25:42 2020	1603952742	22	319	342	319
Thu Oct 29 17:25:08 2020	1603952708	22	320	342	320
Thu Oct 29 17:24:44 2020	1603952684	24	318	342	318
Thu Oct 29 17:25:05 2020	1603952705	23	319	342	319
Thu Oct 29 17:25:34 2020	1603952734	21	321	342	321
Thu Oct 29 17:25:28 2020	1603952728	40	302	342	302
Thu Oct 29 17:25:47 2020	1603952747	24	318	342	317
Thu Oct 29 17:25:04 2020	1603952704	27	315	342	315
Thu Oct 29 17:24:51 2020	1603952691	24	318	342	318
Thu Oct 29 17:24:49 2020	1603952689	26	316	342	316
Thu Oct 29 17:25:55 2020	1603952755	26	316	342	316
Thu Oct 29 17:25:26 2020	1603952726	25	317	342	317
Thu Oct 29 17:25:39 2020	1603952739	25	317	342	317
Thu Oct 29 17:25:28 2020	1603952728	24	318	342	318
Thu Oct 29 17:26:00 2020	1603952760	26	317	342	317
Thu Oct 29 17:25:28 2020	1603952728	24	318	342	318
Thu Oct 29 17:24:46 2020	1603952686	28	315	342	315
Thu Oct 29 17:25:06 2020	1603952706	27	315	342	315
Thu Oct 29 17:25:38 2020	1603952738	24	318	343	318
Thu Oct 29 17:24:54 2020	1603952694	24	318	343	318
Thu Oct 29 17:24:36 2020	1603952676	27	315	343	315
Thu Oct 29 17:25:29 2020	1603952729	24	319	343	319
Thu Oct 29 17:25:36 2020	1603952736	41	302	343	302
Thu Oct 29 17:25:30 2020	1603952730	20	323	343	323
Thu Oct 29 17:25:41 2020	1603952741	24	319	343	319
Thu Oct 29 17:25:48 2020	1603952748	27	316	343	316
Thu Oct 29 17:25:25 2020	1603952725	21	322	343	322
Thu Oct 29 17:26:09 2020	1603952769	21	322	343	322
Thu Oct 29 17:25:11 2020	1603952711	23	320	343	320
Thu Oct 29 17:24:44 2020	1603952684	22	321	343	321
Thu Oct 29 17:24:45 2020	1603952685	23	320	343	320
Thu Oct 29 17:26:04 2020	1603952764	21	322	343	322
Thu Oct 29 17:25:33 2020	1603952733	24	319	343	319
Thu Oct 29 17:26:06 2020	1603952766	24	319	343	319
Thu Oct 29 17:25:30 2020	1603952730	25	319	343	318
